Name,Class,Scle,class-id,set,set-id,subset,scale-family,hepta-class,scale-colour,by,icon-file
Snake-viper,Witch,HMin2,37,12,87,2,Harmonic Minor,Warrior,#9b1a0a,claude,Ability_icon_12_87.png
Crow,Witch,Locrian major,1,12,51,2,Other Heptatonic,Occultist,#6b3ab3,claude,Ability_icon_12_51.png
Bat-Moon,Vampire,MM7,19,13,19,1,Melodic,Occultist,#6b3ab3,claude,Ability_icon_13_19.png
Wolf-silhouette,Werewolf,Dominant Diminished,4,13,54,2,Supertonic,Priest,#ab5c1c,claude,Ability_icon_13_54.png
Wolf-troupe,Werewolf,DH4,9,13,59,2,Double Harmonic,Hunter,#a58c27,claude,Ability_icon_13_59.png
Crocodile,Werewolf,MM2,13,13,63,2,Melodic,Warrior,#9b1a0a,claude,Ability_icon_13_63.png
Snake,Werewolf,DH2,33,13,83,2,Double Harmonic,Hunter,#a58c27,claude,Ability_icon_13_83.png
Bull-nose-ring,Werewolf,,4,13,54,2,,,,,Ability_icon_13_54.png
Butterfly,Fae,DH6,23,14,23,1,Double Harmonic,Paladin,#ab5c1c,claude,Ability_icon_14_23.png
Snake,Summoner,Persian,32,15,32,1,Other Heptatonic,Occultist,#6b3ab3,claude,Ability_icon_15_32.png
Hyena,Summoner,MM5,41,15,41,1,Melodic,Aerotheurge,#384cbc,claude,Ability_icon_15_41.png
Snake,Summoner,Chromatic,42,15,42,1,Supertonic,Paladin,#ab5c1c,claude,Ability_icon_15_42.png
Beast,Summoner,DH7,43,15,43,1,Double Harmonic,Occultist,#6b3ab3,claude,Ability_icon_15_43.png
Imp,Summoner,HMin7,44,15,44,1,Harmonic Minor,Occultist,#6b3ab3,claude,Ability_icon_15_44.png
Spider,Summoner,HMin5,45,15,45,1,Harmonic Minor,Occultist,#6b3ab3,claude,Ability_icon_15_45.png
Bear,Summoner,Bebop Dominant,46,15,46,1,Supertonic,Paladin,#ab5c1c,claude,Ability_icon_15_46.png
Dragon,Summoner,DH1,50,15,50,1,Double Harmonic,Paladin,#ab5c1c,claude,Ability_icon_15_50.png
Parrot,Pirate,D2,43,15,93,2,Diatonic,Warrior,#9b1a0a,han,Ability_icon_15_93.png
Koi,Pirate,Insen,6,15,56,2,Pentatonic,Hydrosophist,#276468,han,Ability_icon_15_56.png
Octopus,Pirate,MM4,3,15,53,2,Melodic,Hunter,#a58c27,claude,Ability_icon_15_53.png
Shark,Pirate,Minor Blues scale,29,15,79,2,Hexatonic,Aerotheurge,#384cbc,claude,Ability_icon_15_79.png
Mollusk,Pirate,Iwato,30,15,80,2,Pentatonic,Occultist,#6b3ab3,claude,Ability_icon_15_80.png
Ram-strike,Cavalier,Istrian scale,34,7,34,1,Hexatonic,Hydrosophist,#276468,claude,Ability_icons7_34.png
Horse-prance,Cavalier,Kumoi,3,7,3,1,Pentatonic,Aerotheurge,#384cbc,claude,Ability_icons7_03.png
Horse-front,Cavalier,Egyptian pentatonic,7,7,7,1,Pentatonic,Aerotheurge,#384cbc,claude,Ability_icons7_07.png
Horse-call,Cavalier,Minor six pentatonic,32,7,32,1,Pentatonic,Occultist,#6b3ab3,claude,Ability_icons7_32.png
Lion,Paladin,D1,44,8,44,1,Diatonic,Paladin,#ab5c1c,han,Ability_icons8_44.png
Tentacles,Occultist,,30,11,80,2,,,,,Ability_icon_11_80.png
